truck_id,truck_age,load_capacity_pounds,mileage_mpg,fuel_type
42302347,10,3000.0,17,gas
27867488,14,10000.0,22,diesel
13927774,8,10000.0,19,gas
69577118,8,20000.0,19,gas
28650047,10,4000.0,21,diesel
29303248,9,4000.0,15,gas
76304377,8,3000.0,20,diesel
21093078,8,,14,gas
41713749,9,,22,gas
14730346,11,15000.0,20,
45395833,9,6000.0,23,diesel
63115903,8,4000.0,16,gas
10633538,8,3000.0,21,diesel
32648498,15,,20,gas
30567382,10,6000.0,27,diesel
27799951,9,15000.0,16,gas
28678505,10,4000.0,16,gas
27565604,8,15000.0,16,gas
11490614,10,3000.0,19,gas
77945069,8,15000.0,18,gas
96362807,11,3000.0,14,gas
14370115,9,6000.0,17,gas
13680498,12,10000.0,23,diesel
12515055,5,3000.0,20,
14407628,8,10000.0,19,gas
29781564,10,4000.0,28,diesel
17743573,9,20000.0,26,diesel
25645401,12,6000.0,14,gas
24287743,11,4000.0,16,gas
33014292,7,10000.0,22,diesel
18910102,9,4000.0,17,gas
17139230,8,4000.0,23,diesel
21001184,11,15000.0,17,gas
27274345,10,15000.0,23,diesel
31908174,13,6000.0,17,gas
14541120,12,15000.0,14,gas
28389523,11,3000.0,26,diesel
33201533,7,4000.0,24,diesel
25886492,9,20000.0,18,gas
14654654,13,,18,gas
27381592,6,15000.0,14,gas
24123509,9,10000.0,15,gas
81904066,10,15000.0,22,diesel
22653688,8,6000.0,22,diesel
15561135,11,4000.0,25,diesel
21945481,10,4000.0,24,diesel
23059473,13,,16,gas
91138034,13,15000.0,19,gas
29906375,11,10000.0,15,gas
11346582,6,6000.0,21,gas
61292553,8,10000.0,15,gas
29349534,13,3000.0,16,gas
16290844,12,3000.0,22,diesel
23060231,7,3000.0,24,diesel
16825520,11,3000.0,19,gas
31955961,5,20000.0,27,diesel
23826257,9,4000.0,19,gas
14902476,8,3000.0,26,diesel
24774056,13,20000.0,17,gas
27618452,9,15000.0,18,gas
56498624,13,3000.0,17,gas
25523248,10,10000.0,25,diesel
12298240,9,3000.0,18,gas
31825609,9,20000.0,27,diesel
12052665,10,3000.0,16,gas
30977437,5,,20,
30594654,9,10000.0,22,gas
28978466,10,3000.0,20,gas
43346401,13,15000.0,23,diesel
17464939,11,10000.0,21,diesel
31794890,8,10000.0,21,gas
29006962,11,3000.0,18,gas
11968468,9,3000.0,22,diesel
22154304,9,6000.0,22,diesel
15000219,10,15000.0,22,diesel
12155785,6,15000.0,21,diesel
22622421,7,3000.0,25,diesel
31889845,8,20000.0,24,diesel
10630400,9,15000.0,19,gas
12742295,9,15000.0,20,
83629587,10,20000.0,18,gas
10390308,10,4000.0,27,diesel
17374677,8,4000.0,24,diesel
22563087,8,6000.0,20,gas
48597864,9,3000.0,15,gas
28921384,10,15000.0,26,diesel
31363807,8,15000.0,14,gas
56029484,6,10000.0,17,gas
11232163,10,10000.0,24,diesel
85069715,9,4000.0,23,diesel
18653108,6,20000.0,22,diesel
11759429,11,3000.0,14,gas
95354743,10,4000.0,17,gas
18441286,10,6000.0,23,diesel
24356102,11,10000.0,22,gas
20212074,14,6000.0,16,gas
18850246,8,10000.0,23,diesel
64894212,8,10000.0,18,diesel
10509722,10,3000.0,24,diesel
23496275,11,3000.0,17,gas
16668142,10,4000.0,23,diesel
31312028,5,4000.0,24,diesel
25805634,7,3000.0,22,gas
38324855,6,10000.0,16,gas
21949967,9,4000.0,19,gas
30336823,11,3000.0,21,diesel
19486564,8,4000.0,17,gas
26739096,8,10000.0,23,diesel
15060086,14,15000.0,18,gas
19350992,11,6000.0,22,gas
21999423,7,15000.0,26,diesel
80740040,12,15000.0,21,diesel
29378614,7,15000.0,22,diesel
16928992,8,3000.0,23,diesel
84586269,9,10000.0,25,diesel
81874052,11,10000.0,18,gas
23898198,9,15000.0,23,
84896559,10,,25,diesel
16511798,9,,17,gas
10747274,9,4000.0,22,diesel
30742689,12,3000.0,25,diesel
52057455,7,4000.0,24,diesel
25120714,7,15000.0,25,diesel
14509814,8,3000.0,20,
14875808,7,3000.0,24,diesel
13172330,4,4000.0,16,gas
30973015,10,6000.0,16,gas
96814728,12,3000.0,23,diesel
33571967,8,3000.0,16,gas
30423343,10,15000.0,15,gas
22705355,7,10000.0,18,gas
25558384,7,3000.0,13,gas
28713449,11,10000.0,17,gas
20724268,8,15000.0,24,diesel
24350497,8,6000.0,23,diesel
14849907,12,10000.0,24,diesel
82265012,11,3000.0,20,diesel
19675258,8,,22,diesel
14720175,11,3000.0,18,diesel
11889158,9,20000.0,22,diesel
21716796,11,3000.0,21,diesel
17260588,12,20000.0,24,diesel
90863204,5,20000.0,24,diesel
99047862,10,,21,diesel
51580610,10,6000.0,24,diesel
16618542,9,15000.0,18,gas
73014961,3,10000.0,18,gas
23024395,11,10000.0,23,diesel
32383950,10,15000.0,23,diesel
57863670,7,3000.0,17,gas
20276394,11,6000.0,26,diesel
21928760,13,6000.0,17,gas
27433073,8,15000.0,16,gas
25670063,10,6000.0,15,gas
27082207,12,3000.0,26,diesel
10787409,11,3000.0,23,diesel
21873226,11,15000.0,20,gas
10455714,9,15000.0,25,diesel
53208128,11,10000.0,21,diesel
29061230,12,15000.0,26,diesel
25822301,11,3000.0,19,diesel
59964723,7,15000.0,14,gas
27828495,11,,15,gas
79272556,7,3000.0,25,diesel
22421199,8,15000.0,19,diesel
65204544,10,10000.0,22,diesel
22563920,11,20000.0,18,gas
21011340,12,15000.0,16,gas
24444155,9,15000.0,19,gas
10048865,9,6000.0,21,diesel
28529541,6,,16,gas
23639934,9,,23,diesel
32479492,11,,24,diesel
11972697,9,3000.0,18,gas
28331634,9,15000.0,19,gas
15421875,10,10000.0,17,gas
61984883,8,3000.0,15,gas
27086559,8,15000.0,16,gas
16325476,11,15000.0,25,diesel
32241370,11,3000.0,20,diesel
27772723,11,4000.0,19,gas
22065392,9,15000.0,19,gas
28674842,10,10000.0,17,gas
21026790,6,15000.0,28,diesel
16560736,12,6000.0,22,diesel
46155960,10,6000.0,20,gas
25366317,10,4000.0,23,diesel
12773858,7,20000.0,24,diesel
25556132,4,15000.0,25,diesel
66365909,13,15000.0,25,diesel
27998086,8,4000.0,21,gas
26687586,13,4000.0,22,diesel
32984940,11,3000.0,20,gas
24220764,6,6000.0,17,gas
85990603,11,,18,
75281181,10,3000.0,24,diesel
33546317,8,3000.0,17,gas
91877740,7,,23,diesel
88471068,9,3000.0,22,diesel
19380767,9,3000.0,18,gas
15242565,13,20000.0,18,gas
25577731,9,15000.0,20,gas
77969688,9,20000.0,18,gas
31295807,13,3000.0,25,diesel
10234289,8,15000.0,13,gas
22220018,9,6000.0,24,diesel
21260443,8,10000.0,23,diesel
29008685,9,15000.0,17,gas
47842104,9,3000.0,16,gas
48123356,7,4000.0,19,gas
18855810,9,20000.0,23,diesel
29135433,10,6000.0,23,diesel
13131138,7,3000.0,21,diesel
10375958,12,15000.0,24,diesel
18882093,10,15000.0,21,diesel
88252334,11,20000.0,26,diesel
30794834,7,10000.0,18,gas
23236058,11,20000.0,22,diesel
61926000,11,6000.0,17,gas
21539605,8,3000.0,18,gas
21111802,8,3000.0,25,diesel
26872264,11,20000.0,26,diesel
22209237,10,15000.0,23,diesel
24288637,10,3000.0,20,gas
14046819,12,15000.0,14,gas
21048046,7,3000.0,23,diesel
33921946,6,4000.0,27,diesel
11191961,10,3000.0,15,gas
50064164,11,3000.0,17,gas
17867711,9,3000.0,17,gas
23821505,11,15000.0,19,gas
24429827,10,,16,gas
31669111,9,4000.0,24,diesel
64315497,9,15000.0,19,
26753518,8,15000.0,24,diesel
28507630,11,6000.0,23,diesel
46115322,12,10000.0,20,gas
29054232,9,3000.0,25,diesel
99981667,13,4000.0,14,gas
18507407,13,4000.0,20,gas
17036941,3,6000.0,23,diesel
10966168,10,15000.0,27,diesel
24859292,14,3000.0,16,gas
28411080,9,3000.0,22,diesel
24803038,11,10000.0,20,diesel
29791384,9,3000.0,13,gas
